iter	Passed	Remaining
0	2	198
1	3	192
2	5	187
3	7	171
4	8	166
5	10	162
6	11	154
7	13	153
8	14	148
9	15	142
10	16	137
11	18	132
12	19	127
13	20	123
14	21	119
15	21	115
16	22	112
17	23	108
18	24	105
19	25	101
20	26	98
21	26	95
22	28	94
23	29	91
24	29	89
25	30	87
26	31	84
27	32	82
28	32	80
29	33	78
30	34	76
31	35	75
32	36	73
33	36	71
34	37	69
35	38	68
36	39	67
37	40	65
38	41	64
39	42	63
40	43	62
41	43	60
42	44	59
43	45	58
44	47	57
45	48	56
46	49	55
47	50	54
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	56	45
55	57	44
56	58	43
57	59	42
58	60	41
59	61	40
60	62	39
61	63	38
62	64	37
63	64	36
64	65	35
65	66	34
66	67	33
67	68	32
68	69	31
69	70	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	77	24
76	78	23
77	79	22
78	81	21
79	82	20
80	83	19
81	84	18
82	85	17
83	86	16
84	87	15
85	88	14
86	89	13
87	90	12
88	91	11
89	92	10
90	93	9
91	94	8
92	95	7
93	96	6
94	97	5
95	97	4
96	99	3
97	100	2
98	101	1
99	102	0
