iter	Passed	Remaining
0	218	217950
1	227	113564
2	234	77819
3	243	60633
4	249	49642
5	255	42247
6	259	36851
7	262	32530
8	264	29170
9	267	26489
10	268	24178
11	271	22318
12	273	20771
13	275	19372
14	276	18187
15	278	17142
16	280	16219
17	283	15466
18	286	14777
19	288	14123
20	290	13540
21	292	12999
22	294	12490
23	296	12048
24	298	11654
25	300	11267
26	302	10902
27	304	10559
28	306	10257
29	307	9955
30	310	9693
31	312	9455
32	314	9229
33	317	9010
34	319	8806
35	321	8597
36	323	8409
37	324	8225
38	327	8080
39	330	7925
40	332	7770
41	333	7616
42	335	7470
43	338	7358
44	340	7227
45	343	7131
46	345	7003
47	351	6971
48	355	6891
49	358	6804
50	360	6703
51	362	6599
52	363	6499
53	365	6404
54	367	6316
55	369	6235
56	373	6186
57	375	6100
58	377	6014
59	378	5934
60	380	5859
61	382	5789
62	386	5754
63	388	5686
64	390	5614
65	392	5552
66	394	5493
67	396	5430
68	397	5367
69	400	5319
70	402	5271
71	404	5212
72	405	5151
73	408	5105
74	409	5050
75	411	4997
76	413	4952
77	415	4911
78	417	4872
79	419	4828
80	421	4782
81	423	4736
82	423	4684
83	425	4642
84	427	4600
85	428	4558
86	432	4536
87	434	4499
88	435	4461
89	437	4426
90	439	4390
91	441	4353
92	442	4315
93	443	4278
94	446	4252
95	448	4227
96	450	4195
97	452	4162
98	453	4126
99	454	4094
100	456	4064
101	458	4035
102	460	4013
103	463	3993
104	465	3968
105	467	3944
106	469	3920
107	471	3893
108	472	3865
109	474	3838
110	476	3818
111	478	3795
112	480	3771
113	482	3746
114	483	3720
115	485	3696
116	486	3669
117	487	3645
118	489	3621
119	490	3599
120	493	3583
121	494	3562
122	496	3539
123	497	3516
124	499	3498
125	501	3477
126	502	3454
127	504	3434
128	505	3414
129	508	3400
130	509	3381
131	511	3361
132	512	3342
133	514	3323
134	515	3303
135	516	3284
136	518	3266
137	520	3248
138	522	3237
139	524	3224
140	526	3207
141	527	3186
142	528	3169
143	530	3153
144	532	3137
145	533	3120
146	535	3105
147	537	3092
148	539	3080
149	541	3067
150	542	3051
151	544	3036
152	545	3021
153	547	3005
154	548	2991
155	550	2977
156	551	2963
157	554	2954
158	556	2943
159	557	2929
160	559	2913
161	560	2901
162	562	2887
163	563	2874
164	565	2861
165	567	2849
166	569	2842
167	571	2828
168	572	2816
169	574	2803
170	576	2794
171	577	2782
172	579	2771
173	581	2759
174	583	2750
175	585	2740
176	587	2730
177	588	2719
178	590	2707
179	591	2695
180	594	2691
181	595	2678
182	600	2679
183	601	2669
184	603	2658
185	604	2647
186	606	2636
187	607	2625
188	609	2615
189	611	2604
190	612	2594
191	614	2587
192	616	2577
193	617	2567
194	619	2556
195	620	2546
196	622	2535
197	623	2527
198	625	2517
199	626	2507
200	628	2500
201	631	2493
202	632	2484
203	634	2474
204	635	2466
205	637	2456
206	639	2448
207	640	2438
208	642	2430
209	643	2421
210	645	2415
211	647	2407
212	649	2400
213	651	2393
214	653	2385
215	654	2377
216	657	2371
217	659	2365
218	661	2359
219	663	2351
220	665	2344
221	666	2336
222	668	2327
223	669	2319
224	671	2311
225	672	2303
226	675	2299
227	677	2294
228	679	2286
229	680	2279
230	682	2271
231	683	2263
232	685	2256
233	687	2250
234	689	2242
235	691	2238
236	693	2232
237	695	2225
238	696	2218
239	698	2210
240	699	2202
241	700	2195
242	702	2187
243	703	2180
244	706	2178
245	708	2171
246	709	2163
247	711	2156
248	712	2149
249	714	2142
250	715	2135
251	717	2128
252	718	2121
253	720	2116
254	723	2112
255	724	2105
256	725	2098
257	727	2091
258	728	2084
259	729	2077
260	731	2070
261	733	2065
262	735	2060
263	738	2058
264	739	2052
265	742	2048
266	743	2041
267	745	2035
268	747	2030
269	748	2023
270	751	2020
271	753	2016
272	755	2010
273	756	2004
274	758	1998
275	759	1993
276	761	1987
277	762	1981
278	764	1975
279	767	1973
280	769	1968
281	771	1963
282	772	1957
283	773	1951
284	775	1945
285	776	1939
286	778	1933
287	779	1927
288	783	1927
289	784	1921
290	786	1916
291	787	1910
292	789	1904
293	790	1899
294	792	1893
295	793	1888
296	795	1882
297	797	1879
298	799	1875
299	801	1869
300	802	1864
301	804	1859
302	806	1855
303	808	1851
304	810	1847
305	814	1846
306	816	1842
307	818	1838
308	819	1833
309	821	1828
310	823	1823
311	824	1818
312	826	1814
313	829	1811
314	830	1807
315	832	1802
316	834	1798
317	836	1794
318	838	1789
319	840	1785
320	841	1780
321	844	1777
322	845	1772
323	847	1768
324	849	1764
325	851	1759
326	853	1755
327	855	1751
328	856	1747
329	859	1745
330	861	1741
331	863	1736
332	864	1732
333	866	1728
334	868	1723
335	869	1718
336	871	1714
337	873	1710
338	876	1708
339	877	1703
340	879	1699
341	881	1695
342	882	1691
343	884	1686
344	886	1683
345	890	1683
346	893	1680
347	895	1676
348	897	1673
349	899	1669
350	900	1665
351	901	1660
352	904	1658
353	906	1655
354	908	1650
355	909	1646
356	911	1642
357	913	1638
358	915	1635
359	917	1631
360	919	1628
361	921	1624
362	923	1620
363	925	1616
364	926	1611
365	928	1607
366	929	1603
367	931	1599
368	933	1595
369	935	1593
370	937	1589
371	938	1584
372	940	1580
373	941	1576
374	943	1572
375	944	1567
376	946	1563
377	947	1559
378	948	1554
379	951	1553
380	953	1549
381	955	1545
382	956	1541
383	958	1537
384	959	1532
385	961	1529
386	962	1525
387	964	1520
388	966	1518
389	969	1515
390	970	1511
391	972	1507
392	973	1503
393	975	1500
394	976	1496
395	978	1491
396	979	1488
397	982	1485
398	983	1481
399	984	1477
400	986	1473
401	987	1469
402	989	1465
403	991	1462
404	992	1458
405	993	1454
406	996	1451
407	998	1448
408	999	1444
409	1001	1441
410	1003	1437
411	1004	1433
412	1006	1430
413	1008	1427
414	1009	1423
415	1012	1421
416	1014	1417
417	1015	1414
418	1017	1411
419	1019	1407
420	1020	1403
421	1022	1400
422	1023	1396
423	1025	1392
424	1027	1390
425	1029	1387
426	1030	1383
427	1032	1379
428	1033	1375
429	1035	1372
430	1036	1368
431	1038	1365
432	1039	1361
433	1042	1359
434	1044	1356
435	1045	1352
436	1047	1349
437	1048	1345
438	1050	1342
439	1051	1338
440	1053	1334
441	1054	1331
442	1056	1327
443	1058	1325
444	1060	1322
445	1061	1318
446	1063	1315
447	1068	1316
448	1072	1316
449	1076	1315
450	1081	1315
451	1084	1314
452	1088	1313
453	1090	1311
454	1092	1308
455	1094	1305
456	1095	1302
457	1097	1298
458	1098	1295
459	1100	1291
460	1102	1289
461	1104	1286
462	1106	1283
463	1108	1279
464	1109	1276
465	1110	1273
466	1112	1269
467	1113	1266
468	1115	1263
469	1117	1260
470	1120	1257
471	1121	1254
472	1122	1251
473	1124	1247
474	1125	1244
475	1127	1241
476	1129	1237
477	1130	1234
478	1132	1231
479	1134	1229
480	1136	1226
481	1137	1222
482	1139	1219
483	1140	1216
484	1142	1212
485	1143	1209
486	1145	1206
487	1146	1202
488	1148	1200
489	1150	1197
490	1152	1194
491	1153	1191
492	1155	1188
493	1156	1184
494	1158	1181
495	1161	1180
496	1163	1177
497	1165	1175
498	1167	1172
499	1169	1169
500	1170	1166
501	1172	1163
502	1173	1159
503	1175	1156
504	1176	1153
505	1179	1151
506	1181	1148
507	1183	1145
508	1184	1142
509	1185	1139
510	1187	1136
511	1189	1133
512	1190	1130
513	1192	1127
514	1194	1124
515	1196	1121
516	1197	1118
517	1199	1115
518	1200	1112
519	1201	1109
520	1203	1106
521	1204	1103
522	1206	1100
523	1207	1097
524	1210	1095
525	1212	1092
526	1213	1089
527	1215	1086
528	1216	1083
529	1218	1080
530	1219	1077
531	1221	1074
532	1222	1071
533	1224	1068
534	1226	1066
535	1228	1063
536	1229	1060
537	1231	1057
538	1232	1054
539	1234	1051
540	1235	1048
541	1237	1045
542	1238	1042
543	1241	1040
544	1243	1037
545	1245	1035
546	1247	1033
547	1249	1030
548	1250	1027
549	1252	1025
550	1254	1022
551	1257	1020
552	1259	1017
553	1260	1014
554	1262	1012
555	1263	1009
556	1265	1006
557	1266	1003
558	1267	1000
559	1269	997
560	1271	994
561	1273	992
562	1274	989
563	1276	986
564	1277	983
565	1279	980
566	1281	978
567	1282	975
568	1283	972
569	1285	969
570	1287	967
571	1289	965
572	1291	962
573	1292	959
574	1293	956
575	1295	953
576	1296	950
577	1298	947
578	1299	945
579	1302	943
580	1304	940
581	1305	937
582	1307	934
583	1309	932
584	1310	929
585	1312	926
586	1313	924
587	1314	921
588	1317	919
589	1319	916
590	1320	914
591	1322	911
592	1323	908
593	1325	906
594	1327	903
595	1328	900
596	1330	897
597	1332	895
598	1334	893
599	1335	890
600	1337	887
601	1338	885
602	1340	882
603	1341	879
604	1343	877
605	1345	874
606	1347	872
607	1349	869
608	1350	867
609	1352	864
610	1353	861
611	1355	859
612	1356	856
613	1358	853
614	1359	851
615	1361	848
616	1363	846
617	1365	843
618	1367	841
619	1368	838
620	1370	836
621	1372	833
622	1373	831
623	1375	828
624	1376	826
625	1379	823
626	1380	821
627	1382	818
628	1383	816
629	1385	813
630	1387	811
631	1388	808
632	1390	806
633	1391	803
634	1394	801
635	1395	798
636	1397	796
637	1398	793
638	1400	790
639	1401	788
640	1403	785
641	1405	783
642	1406	780
643	1409	779
644	1412	777
645	1413	774
646	1415	772
647	1416	769
648	1417	766
649	1419	764
650	1420	761
651	1422	759
652	1424	757
653	1426	754
654	1428	752
655	1430	749
656	1431	747
657	1433	744
658	1434	742
659	1436	739
660	1437	737
661	1440	735
662	1442	733
663	1443	730
664	1445	728
665	1446	725
666	1448	723
667	1449	720
668	1451	718
669	1452	715
670	1455	713
671	1457	711
672	1458	708
673	1460	706
674	1461	703
675	1463	701
676	1465	699
677	1466	696
678	1467	693
679	1470	691
680	1472	689
681	1474	687
682	1476	685
683	1477	682
684	1479	680
685	1480	677
686	1482	675
687	1483	672
688	1486	670
689	1487	668
690	1489	665
691	1490	663
692	1491	660
693	1493	658
694	1494	656
695	1496	653
696	1497	651
697	1500	649
698	1502	647
699	1504	644
700	1506	642
701	1507	639
702	1509	637
703	1510	635
704	1512	632
705	1513	630
706	1515	628
707	1517	625
708	1518	623
709	1520	620
710	1521	618
711	1522	615
712	1524	613
713	1525	611
714	1527	608
715	1528	606
716	1530	604
717	1533	602
718	1534	599
719	1535	597
720	1537	594
721	1539	592
722	1540	590
723	1542	587
724	1543	585
725	1545	583
726	1548	581
727	1550	579
728	1551	576
729	1553	574
730	1554	572
731	1556	569
732	1558	567
733	1559	565
734	1561	563
735	1563	560
736	1566	558
737	1567	556
738	1569	554
739	1570	551
740	1572	549
741	1573	547
742	1575	545
743	1577	542
744	1579	540
745	1581	538
746	1582	536
747	1584	533
748	1586	531
749	1587	529
750	1589	526
751	1590	524
752	1592	522
753	1594	520
754	1596	517
755	1598	515
756	1599	513
757	1601	511
758	1602	508
759	1604	506
760	1605	504
761	1607	502
762	1609	500
763	1611	497
764	1612	495
765	1614	493
766	1615	490
767	1617	488
768	1619	486
769	1620	484
770	1622	481
771	1624	479
772	1626	477
773	1627	475
774	1629	472
775	1630	470
776	1631	468
777	1633	466
778	1635	463
779	1636	461
780	1638	459
781	1641	457
782	1642	455
783	1644	453
784	1645	450
785	1647	448
786	1648	446
787	1650	444
788	1651	441
789	1653	439
790	1655	437
791	1657	435
792	1658	433
793	1660	430
794	1661	428
795	1663	426
796	1664	424
797	1666	421
798	1667	419
799	1670	417
800	1671	415
801	1673	413
802	1674	410
803	1676	408
804	1677	406
805	1679	404
806	1680	401
807	1682	399
808	1683	397
809	1686	395
810	1688	393
811	1689	391
812	1691	389
813	1693	386
814	1694	384
815	1696	382
816	1697	380
817	1699	378
818	1701	376
819	1703	373
820	1704	371
821	1706	369
822	1707	367
823	1709	365
824	1710	362
825	1712	360
826	1714	358
827	1716	356
828	1718	354
829	1720	352
830	1721	350
831	1723	347
832	1724	345
833	1726	343
834	1727	341
835	1729	339
836	1731	337
837	1733	335
838	1735	333
839	1736	330
840	1738	328
841	1739	326
842	1741	324
843	1743	322
844	1744	319
845	1746	317
846	1749	315
847	1751	313
848	1752	311
849	1754	309
850	1755	307
851	1757	305
852	1759	303
853	1760	300
854	1762	298
855	1765	296
856	1766	294
857	1768	292
858	1769	290
859	1771	288
860	1773	286
861	1774	284
862	1775	281
863	1777	279
864	1780	277
865	1781	275
866	1782	273
867	1784	271
868	1785	269
869	1787	267
870	1789	265
871	1790	262
872	1792	260
873	1795	258
874	1796	256
875	1798	254
876	1799	252
877	1801	250
878	1803	248
879	1805	246
880	1806	244
881	1809	242
882	1811	239
883	1812	237
884	1814	235
885	1815	233
886	1817	231
887	1818	229
888	1820	227
889	1821	225
890	1823	223
891	1825	221
892	1827	218
893	1828	216
894	1830	214
895	1831	212
896	1833	210
897	1834	208
898	1836	206
899	1837	204
900	1840	202
901	1842	200
902	1843	198
903	1844	195
904	1846	193
905	1848	191
906	1849	189
907	1851	187
908	1853	185
909	1855	183
910	1857	181
911	1858	179
912	1860	177
913	1861	175
914	1863	173
915	1864	170
916	1866	168
917	1867	166
918	1869	164
919	1871	162
920	1872	160
921	1874	158
922	1875	156
923	1877	154
924	1878	152
925	1881	150
926	1882	148
927	1885	146
928	1887	144
929	1889	142
930	1890	140
931	1891	138
932	1893	135
933	1894	133
934	1896	131
935	1897	129
936	1899	127
937	1902	125
938	1903	123
939	1905	121
940	1906	119
941	1908	117
942	1909	115
943	1911	113
944	1912	111
945	1914	109
946	1915	107
947	1917	105
948	1919	103
949	1920	101
950	1922	99
951	1923	96
952	1925	94
953	1926	92
954	1928	90
955	1930	88
956	1932	86
957	1934	84
958	1935	82
959	1937	80
960	1938	78
961	1940	76
962	1941	74
963	1943	72
964	1945	70
965	1946	68
966	1948	66
967	1949	64
968	1951	62
969	1952	60
970	1954	58
971	1956	56
972	1957	54
973	1959	52
974	1962	50
975	1964	48
976	1965	46
977	1967	44
978	1969	42
979	1971	40
980	1972	38
981	1974	36
982	1976	34
983	1978	32
984	1980	30
985	1981	28
986	1983	26
987	1984	24
988	1986	22
989	1987	20
990	1988	18
991	1990	16
992	1992	14
993	1994	12
994	1996	10
995	1997	8
996	1999	6
997	2001	4
998	2002	2
999	2003	0
